endpoint,model,title,caveat,n_total,n_used,n_events,HR_per_SD,LCI_per_SD,UCI_per_SD,P_per_SD,HR_trend_perQ,P_trend,c_index,P_per_SD_q_BH,P_trend_q_BH
any_CVD_event,+Biomarkers,Any incident CVD event,ICD-event substitute (no f.40001),37117,27912,10965,1.0810082847200857,1.0552386678964545,1.1074072124014784,2.488475389912233e-10,1.049422631279506,1.4693506068437598e-06,,4.6214542955512894e-10,2.3876947361211096e-06
any_cancer_event,Base,Any incident cancer,ICD-event substitute (no f.40001),42126,42126,7551,1.0637743984984527,1.0406293873942625,1.0874341860883947,3.621297494247086e-08,1.0599115800593448,1.770554366083785e-08,,4.279715220473829e-08,2.0924733417353824e-08
any_cancer_event,+Clinical,Any incident cancer,ICD-event substitute (no f.40001),42126,32333,5809,1.0660495720260261,1.0345813627136864,1.0984749300296275,2.8667998840554604e-05,1.0598555636139473,1.322477762202604e-05,0.6622219330176471,3.388036226610999e-05,1.7192210908633854e-05
any_cancer_event,+Biomarkers,Any incident cancer,ICD-event substitute (no f.40001),42126,31648,5679,1.0546057806251257,1.0224477828067802,1.0877752108521226,0.0007654492112142748,1.0526580243700951,0.00016265751083247067,,0.0009046217950714156,0.00023494973786912428
incident_T2D,Base,Incident T2D,,44642,44642,3477,1.4788419005602005,1.4407445215410644,1.5179466825341474,9.27151955323632e-190,1.4621324519293628,1.231006374215606e-131,,3.013243854801804e-189,8.001541432401439e-131
incident_T2D,+Clinical,Incident T2D,,44642,34248,2688,1.0896349971170904,1.0494356517964323,1.131374205659894,7.610300749773589e-06,1.1531990398918444,1.9987629249591032e-13,0.8753816270464488,9.893390974705666e-06,5.196783604893668e-13
incident_T2D,+Biomarkers,Incident T2D,,44642,33527,2626,1.105490344148302,1.0628080726967433,1.1498867315753274,5.971391406064248e-07,1.1592705348968015,7.923605051520853e-14,,9.703511034854403e-07,2.0601373133954216e-13
incident_HF,Base,Incident HF,,44642,44642,1888,1.4713747167095634,1.4219844388911071,1.5224804841467996,6.843360983774279e-109,1.33010945890808,2.5989037377733004e-47,,1.270909896986652e-108,4.826535513007558e-47
incident_HF,+Clinical,Incident HF,,44642,34248,1431,1.27136830028626,1.2121985488971414,1.3334262414712132,5.397226248501695e-23,1.1669499366022222,3.5430126591899074e-10,0.788742820883751,1.1693990205087005e-22,5.757395571183599e-10
incident_HF,+Biomarkers,Incident HF,,44642,33527,1403,1.1059274167556843,1.0534817996827364,1.160983940586576,4.869277966932412e-05,1.0958207003347797,0.0002878864265268454,,7.033401507791263e-05,0.00037425235448489906
incident_CKD,Base,Incident CKD,,44500,44500,2264,2.0797381699015483,2.019747326940509,2.1415108700242094,0.0,1.8764152372008989,1.2666083280640778e-211,,0.0,1.646590826483301e-210
incident_CKD,+Clinical,Incident CKD,,44500,34136,1715,1.483387253721136,1.4226171846364233,1.5467532434347029,3.1938028025262776e-76,1.4527478070789803,6.543296148257652e-49,0.8646794410959642,2.0759718216420805e-75,8.506284992734947e-48
incident_CKD,+Biomarkers,Incident CKD,,44500,33416,1679,1.3792876028223588,1.3204397653891122,1.4407581028422245,2.3400359108902867e-47,1.3990450532890253,2.679903782416239e-38,,1.014015561385791e-46,3.4838749171411104e-37
incident_dementia,Base,Incident dementia,,44627,44627,1089,1.129762685881382,1.0772456990685504,1.1848399371782434,5.067479506465136e-07,1.1034981163763984,2.5255027187358902e-05,,5.48976946533723e-07,2.735961278630548e-05
incident_dementia,+Clinical,Incident dementia,,44627,34236,858,1.0831963297356968,1.0205933873689077,1.1496393208834046,0.008511642371219725,1.0696700167157192,0.017489038940100992,0.8091072955534104,0.008511642371219725,0.017489038940100992
incident_dementia,+Biomarkers,Incident dementia,,44627,33515,840,1.054404648357745,0.9918212906644184,1.12093698022317,0.08971359751262771,1.0540499518744038,0.06892203402526996,,0.08971359751262772,0.06892203402526996
